"Title","Designator","Value","ManufacturerPart","SupplierPart","Description"
"SC8002B","U?",,"SC8002B","C82124","音频功率放大器"
"USB3300-EZK-TR_1","U?",,"USB3300-EZK-TR","C108383","USB PHY 相关器件"
"TL431IDBZTG4","U?",,"TL431IDBZTG4","C2157217","基准/稳压相关器件"
"HC-0.8-2PWT","CN?",,"HC-0.8-2PWT","C2845343","0.8mm 卧贴连接器"
"LP2992IM5-3.3","U?",,"LP2992IM5-3.3","C3751592","LDO 电源器件"
"Type-C","USB?",,,,"Type-C 接口"
"PCM2912A","U?",,,,"音频相关器件"
"TYPE-C-31-M-12","USBC?",,"TYPE-C-31-M-12","C165948","USB Type-C 接口"
"HC-0.8-5PWT","CN?",,"HC-0.8-5PWT","C2845346","0.8mm 5P 卧贴连接器"
"F0502-B-10-20T-R_1","FPC?",,"F0502-B-10-20T-R","C481219","FPC 连接器"
"AO3400A_2","Q?",,"AO3400A","C700953","N 沟道 MOSFET"
"LCD-240x240-ROUND","U?",,,,"圆形 LCD 显示屏"
"M0611RS-02-GB","CN?",,"M0611RS-02-GB","C509241","0.6mm 连接器"
"MPU6050","U?",,,,"姿态传感器"
"MPU-6050","U?",,"MPU-6050","C24112","三轴加速度计和三轴陀螺仪"
"XC6210B332MR-G","U?",,"XC6210B332MR-G","C47719","3.3V LDO"
"STM32F030F4P6","U4",,,,"ARM Cortex-M0 MCU"
"CP2102_1","U?",,"CP2102","C9900004371","USB 转串口相关器件"
"TF-110","Card?",,"TF-110","C266613","MicroSD/TF 卡座"
"PCM2912APJTR","U?",,"PCM2912APJTR","C475497","USB 音频编解码器"
"WAFER-SH1.0-2PWB","U?",,"WAFER-SH1.0-2PWB","C3029341","SH1.0 连接器"
"SH1.0A-4P 卧贴","U?",,"SH1.0A-4P 卧贴","C9900000720","4P 卧贴连接器"
"CL31A107MQHNNNE","C?","100uF","CL31A107MQHNNNE","C15008","100uF 电容"
"STM32F405RGT6_1","U?",,"STM32F405RGT6","C15742","ARM Cortex-M4 MCU"
